manifest_path,total_rows,read_error,prefix_exists,image_exists,gt_full_exists,gt_future_exists,target_exists,prompt_exists_or_text,poses_exists,intrinsics_exists,runnable,can_cut_prefix_future,template_distribution,camera_motion_distribution,path_root_type
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_04.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_05.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_06.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_07.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""collision"": 1}","{""orbit_right_64"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_08.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_09.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_10.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_11.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_12.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
local_assets/v2v5_rollouts_20260627_0938/screen16_chunks/sample_13.jsonl,1,,1,1,1,1,1,1,1,1,1,1,"{""containment"": 1}","{""orbit_left_44"": 1}","{""local_assets"": 3}"
